"filename", "language", "JSON", "Markdown", "JSON with Comments", "HTML", "JavaScript", "Properties", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\AuthProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 8, 37
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\ConfirmationModalProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 137, 0, 3, 13, 153
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\ModalContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 3, 12, 117
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\OrganisationProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 9, 51
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\SearchProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 7, 27
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\ToastProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 9, 50
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\contexts\UserProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 9, 46
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\currencyCodes.js", "JavaScript", 0, 0, 0, 0, 1080, 0, 0, 0, 0, 1, 3, 1084
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\hooks\useCategoryOptions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 7, 51
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\hooks\useDebounce.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\hooks\useNCM.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 9, 54
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\hooks\useNCMFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 2, 8, 57
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\hooks\useSignedAvatarURL.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 10, 44
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\hooks\useSupabaseSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 12, 58
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\hooks\useTheme.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 10, 64
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 287, 0, 0, 4, 17, 308
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\lib\DropdownHelperFunctions.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\lib\csvHelper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 4, 10, 45
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\lib\utils.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 14, 84
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 7, 156
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\ncmData.json", "JSON", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 225
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\supabase-client.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\validationSchema.js", "JavaScript", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 5, 132
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\vite.config.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 2, 28
"Total", "-", 4998, 7, 12, 17, 1703, 3, 360, 9625, 9, 118, 966, 17818
